,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
9,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,8,,S1,1653 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,800000.00,3/31/2022,40.6057374,-74.0088017
10,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,107,,S1,1655 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,0.00,2/2/2022,40.6057045,-74.0087513
12,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405,148,,S1,1865 BATH AVENUE,,11214,1,1,2,"1,124","1,800",1920,1,S1,955000.00,10/28/2022,40.6029517,-74.0039505
16,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,32,,S1,2014 BATH AVENUE,,11214,1,1,2,"1,245","1,596",1925,1,S1,0.00,7/25/2022,40.6010195,-74.0013144
21,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,141,,A5,1173 SHORE PARKWAY,,11214,1,0,1,"1,661","1,392",1950,1,A5,843000.00,5/19/2022,40.602597,-74.0127446
26,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,331,,A5,1131 SHORE PARKWAY,,11214,1,0,1,"2,380",986,1945,1,A5,880000.00,7/26/2022,40.6028988,-74.0138106
41,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,5,,B1,1513 BENSON AVENUE,,11228,2,0,2,"2,142","1,920",1945,1,B1,0.00,11/11/2022,40.6096678,-74.0106931
61,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,4,,B2,1913 BENSON AVENUE,,11214,2,0,2,"5,663","2,321",1930,1,B2,1388000.00,10/19/2022,40.6038219,-74.0019303
70,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,1,,B3,1465 BATH AVENUE,,11228,2,0,2,"5,800","2,956",1910,1,B3,0.00,2/15/2022,40.6083364,-74.0130158
71,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,7,,B3,1457 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,975000.00,6/21/2022,40.6085038,-74.0132932
72,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,10,,B3,1449 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,0.00,10/25/2022,40.6086026,-74.0134589
78,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,41,,B1,1534 BENSON AVENUE,,11228,2,0,2,"4,022","1,404",1925,1,B1,0.00,10/11/2022,40.6088719,-74.0103832
81,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,14,,B1,149 BAY 11 STREET,,11228,2,0,2,"1,949","2,235",1965,1,B1,1388000.00,6/23/2022,40.6074226,-74.0109232
83,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,26,,B1,121 BAY 11 STREET,,11228,2,0,2,"1,933","2,176",1925,1,B1,0.00,2/9/2022,40.6079414,-74.0103867
84,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,39,,B1,1554 BENSON AVENUE,,11228,2,0,2,"1,800","2,268",1930,1,B1,0.00,5/31/2022,40.6085069,-74.0098105
86,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,2,,S2,1645 BATH AVENUE,,11214,2,1,3,"2,082","3,000",1935,1,S2,739000.00,9/13/2022,40.6060229,-74.0091943
87,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,3,,S2,1643 BATH AVENUE,,11214,2,1,3,"4,166","4,000",1926,1,S2,1338000.00,12/27/2022,40.6060585,-74.0092519
92,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,71,,B1,55 RUTHERFORD PLACE,,11214,2,0,2,"1,820","2,910",1992,1,B1,1230000.00,2/25/2022,40.6055126,-74.0053084
98,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,1,,B9,1423 CROPSEY AVENUE,,11228,2,0,2,"2,166","1,765",1935,1,B9,0.00,11/16/2022,40.6074933,-74.0161453
99,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,9,,B9,1403 CROPSEY AVENUE,,11228,2,0,2,"1,885","1,765",1935,1,B9,0.00,2/22/2022,40.6077348,-74.0165848
